conv2d_1, Conv2D, 6137, 7001, 864
batch_normalization_1, BatchNormalization, 694550, 694588, 38
conv2d_2, Conv2D, 1642160, 1644806, 2646
batch_normalization_2, BatchNormalization, 2636951, 2636988, 37
conv2d_3, Conv2D, 3599123, 3604415, 5292
batch_normalization_3, BatchNormalization, 5086363, 5086437, 74
conv2d_4, Conv2D, 6769267, 6769997, 730
batch_normalization_4, BatchNormalization, 7286815, 7286861, 46
conv2d_5, Conv2D, 7950516, 7959156, 8640
batch_normalization_5, BatchNormalization, 9333757, 9333864, 107
conv2d_9, Conv2D, 10596925, 10597765, 840
conv2d_7, Conv2D, 10825033, 10825663, 630
conv2d_6, Conv2D, 11046399, 11047239, 840
conv2d_12, Conv2D, 11269858, 11270278, 420
batch_normalization_9, BatchNormalization, 11469572, 11469590, 18
batch_normalization_7, BatchNormalization, 11584895, 11584909, 14
batch_normalization_6, BatchNormalization, 11672116, 11672134, 18
batch_normalization_12, BatchNormalization, 11786937, 11786946, 9
conv2d_10, Conv2D, 11892375, 11896155, 3780
conv2d_8, Conv2D, 12101393, 12106643, 5250
batch_normalization_10, BatchNormalization, 12290888, 12290915, 27
batch_normalization_8, BatchNormalization, 12449056, 12449074, 18
conv2d_11, Conv2D, 12628280, 12633950, 5670
batch_normalization_11, BatchNormalization, 12833048, 12833075, 27
conv2d_16, Conv2D, 13005549, 13006669, 1120
conv2d_14, Conv2D, 13298650, 13299490, 840
conv2d_13, Conv2D, 13579444, 13580564, 1120
conv2d_19, Conv2D, 13871960, 13873080, 1120
batch_normalization_16, BatchNormalization, 14147872, 14147890, 18
batch_normalization_14, BatchNormalization, 14262859, 14262873, 14
batch_normalization_13, BatchNormalization, 14350398, 14350416, 18
batch_normalization_19, BatchNormalization, 14466641, 14466659, 18
conv2d_17, Conv2D, 14623266, 14627046, 3780
conv2d_15, Conv2D, 14834723, 14839973, 5250
batch_normalization_17, BatchNormalization, 15023666, 15023693, 27
batch_normalization_15, BatchNormalization, 15183398, 15183416, 18
conv2d_18, Conv2D, 15360810, 15366480, 5670
batch_normalization_18, BatchNormalization, 15565234, 15565261, 27
conv2d_23, Conv2D, 15743448, 15744708, 1260
conv2d_21, Conv2D, 16056032, 16056977, 945
conv2d_20, Conv2D, 16362876, 16364028, 1152
conv2d_26, Conv2D, 16690212, 16691472, 1260
batch_normalization_23, BatchNormalization, 16991283, 16991301, 18
batch_normalization_21, BatchNormalization, 17105323, 17105337, 14
batch_normalization_20, BatchNormalization, 17190137, 17190155, 18
batch_normalization_26, BatchNormalization, 17305087, 17305105, 18
conv2d_24, Conv2D, 17463063, 17466843, 3780
conv2d_22, Conv2D, 17671566, 17676816, 5250
batch_normalization_24, BatchNormalization, 17861730, 17861757, 27
batch_normalization_22, BatchNormalization, 18023345, 18023363, 18
conv2d_25, Conv2D, 18202430, 18208100, 5670
batch_normalization_25, BatchNormalization, 18406833, 18406860, 27
conv2d_28, Conv2D, 18585014, 18586274, 1260
conv2d_27, Conv2D, 18885497, 18885823, 326
batch_normalization_28, BatchNormalization, 21296626, 21296644, 18
batch_normalization_27, BatchNormalization, 21416469, 21416520, 51
conv2d_29, Conv2D, 21603475, 21607255, 3780
batch_normalization_29, BatchNormalization, 21755042, 21755069, 27
conv2d_30, Conv2D, 21982865, 21985619, 2754
batch_normalization_30, BatchNormalization, 22083151, 22083164, 13
conv2d_35, Conv2D, 22201125, 22204389, 3264
conv2d_32, Conv2D, 22392607, 22394919, 2312
conv2d_31, Conv2D, 22628723, 22628832, 109
conv2d_40, Conv2D, 23121591, 23121700, 109
batch_normalization_35, BatchNormalization, 23656759, 23656776, 17
batch_normalization_32, BatchNormalization, 23710813, 23710830, 17
batch_normalization_31, BatchNormalization, 23765475, 23765501, 26
batch_normalization_40, BatchNormalization, 23843913, 23843939, 26
conv2d_36, Conv2D, 24003598, 24007406, 3808
conv2d_33, Conv2D, 24157406, 24161214, 3808
batch_normalization_36, BatchNormalization, 24226639, 24226656, 17
batch_normalization_33, BatchNormalization, 24281917, 24281934, 17
conv2d_37, Conv2D, 24347068, 24355160, 8092
conv2d_34, Conv2D, 24596471, 24602183, 5712
batch_normalization_37, BatchNormalization, 24697945, 24697962, 17
batch_normalization_34, BatchNormalization, 24752584, 24752610, 26
conv2d_38, Conv2D, 24843104, 24851196, 8092
batch_normalization_38, BatchNormalization, 24981517, 24981534, 17
conv2d_39, Conv2D, 25159065, 25164777, 5712
batch_normalization_39, BatchNormalization, 25262288, 25262314, 26
conv2d_45, Conv2D, 25434294, 25438374, 4080
conv2d_42, Conv2D, 25625690, 25627135, 1445
conv2d_41, Conv2D, 25914287, 25914396, 109
conv2d_50, Conv2D, 26446957, 26447066, 109
batch_normalization_45, BatchNormalization, 26980305, 26980327, 22
batch_normalization_42, BatchNormalization, 27046571, 27046593, 22
batch_normalization_41, BatchNormalization, 27112566, 27112592, 26
batch_normalization_50, BatchNormalization, 27191533, 27191559, 26
conv2d_46, Conv2D, 27400013, 27405963, 5950
conv2d_43, Conv2D, 27635787, 27641737, 5950
batch_normalization_46, BatchNormalization, 27741516, 27741538, 22
batch_normalization_43, BatchNormalization, 27807699, 27807721, 22
conv2d_47, Conv2D, 28004188, 28010138, 5950
conv2d_44, Conv2D, 28109961, 28110720, 759
batch_normalization_47, BatchNormalization, 28398549, 28398571, 22
batch_normalization_44, BatchNormalization, 28464982, 28465008, 26
conv2d_48, Conv2D, 28671731, 28677681, 5950
batch_normalization_48, BatchNormalization, 28777439, 28777461, 22
conv2d_49, Conv2D, 28843394, 28844153, 759
batch_normalization_49, BatchNormalization, 29132668, 29132694, 26
conv2d_55, Conv2D, 29302413, 29306493, 4080
conv2d_52, Conv2D, 29582864, 29586944, 4080
conv2d_51, Conv2D, 29768771, 29768880, 109
conv2d_60, Conv2D, 30299195, 30299304, 109
batch_normalization_55, BatchNormalization, 30834465, 30834487, 22
batch_normalization_52, BatchNormalization, 30900893, 30900915, 22
batch_normalization_51, BatchNormalization, 30967661, 30967687, 26
batch_normalization_60, BatchNormalization, 31046611, 31046637, 26
conv2d_56, Conv2D, 31253863, 31259813, 5950
conv2d_53, Conv2D, 31488045, 31493995, 5950
batch_normalization_56, BatchNormalization, 31593919, 31593941, 22
batch_normalization_53, BatchNormalization, 31661450, 31661472, 22
conv2d_57, Conv2D, 31857407, 31863357, 5950
conv2d_54, Conv2D, 31962431, 31963190, 759
batch_normalization_57, BatchNormalization, 32250226, 32250248, 22
batch_normalization_54, BatchNormalization, 32316318, 32316344, 26
conv2d_58, Conv2D, 32524147, 32530097, 5950
batch_normalization_58, BatchNormalization, 32630006, 32630028, 22
conv2d_59, Conv2D, 32742431, 32743064, 633
batch_normalization_59, BatchNormalization, 32980880, 32980906, 26
conv2d_65, Conv2D, 33057423, 33057532, 109
conv2d_62, Conv2D, 33587695, 33587804, 109
conv2d_61, Conv2D, 34115312, 34115421, 109
conv2d_70, Conv2D, 34642645, 34642754, 109
batch_normalization_65, BatchNormalization, 35172726, 35172752, 26
batch_normalization_62, BatchNormalization, 35251772, 35251798, 26
batch_normalization_61, BatchNormalization, 35329928, 35329954, 26
batch_normalization_70, BatchNormalization, 35407245, 35407271, 26
conv2d_66, Conv2D, 35484022, 35484781, 759
conv2d_63, Conv2D, 35817993, 35818752, 759
batch_normalization_66, BatchNormalization, 36154241, 36154267, 26
batch_normalization_63, BatchNormalization, 36232738, 36232764, 26
conv2d_67, Conv2D, 36309180, 36309939, 759
conv2d_64, Conv2D, 36645036, 36645795, 759
batch_normalization_67, BatchNormalization, 37040831, 37040857, 26
batch_normalization_64, BatchNormalization, 37118811, 37118837, 26
conv2d_68, Conv2D, 37195533, 37196292, 759
batch_normalization_68, BatchNormalization, 37531768, 37531794, 26
conv2d_69, Conv2D, 37608214, 37608973, 759
batch_normalization_69, BatchNormalization, 37944573, 37944599, 26
conv2d_73, Conv2D, 38020200, 38020309, 109
conv2d_71, Conv2D, 38510075, 38510184, 109
batch_normalization_73, BatchNormalization, 39001177, 39001203, 26
batch_normalization_71, BatchNormalization, 39079073, 39079099, 26
conv2d_74, Conv2D, 39156183, 39156942, 759
conv2d_72, Conv2D, 39522998, 39528758, 5760
batch_normalization_74, BatchNormalization, 39926014, 39926040, 26
batch_normalization_72, BatchNormalization, 40003464, 40003484, 20
conv2d_75, Conv2D, 40029763, 40030522, 759
batch_normalization_75, BatchNormalization, 40365960, 40365986, 26
conv2d_76, Conv2D, 40463076, 40466532, 3456
batch_normalization_76, BatchNormalization, 40712002, 40712014, 12
conv2d_81, Conv2D, 40740305, 40742097, 1792
conv2d_78, Conv2D, 41235771, 41238843, 3072
conv2d_77, Conv2D, 41636416, 41638976, 2560
conv2d_85, Conv2D, 41980297, 41981833, 1536
batch_normalization_81, BatchNormalization, 42188569, 42188597, 28
batch_normalization_78, BatchNormalization, 42224826, 42224850, 24
batch_normalization_77, BatchNormalization, 42256499, 42256519, 20
batch_normalization_85, BatchNormalization, 42282717, 42282729, 12
conv2d_82, Conv2D, 42339137, 42346049, 6912
conv2d_79, Conv2D, 43484329, 43486633, 2304
conv2d_80, Conv2D, 43856007, 43860615, 4608
batch_normalization_82, BatchNormalization, 44165451, 44165475, 24
batch_normalization_79, BatchNormalization, 44195546, 44195570, 24
batch_normalization_80, BatchNormalization, 44229074, 44229098, 24
conv2d_83, Conv2D, 44302299, 44306907, 4608
conv2d_84, Conv2D, 44640908, 44645516, 4608
batch_normalization_83, BatchNormalization, 44972534, 44972558, 24
batch_normalization_84, BatchNormalization, 45005738, 45005762, 24
conv2d_90, Conv2D, 45057836, 45061420, 3584
conv2d_87, Conv2D, 45791870, 45793406, 1536
conv2d_86, Conv2D, 46476576, 46479136, 2560
conv2d_94, Conv2D, 47006888, 47008424, 1536
batch_normalization_90, BatchNormalization, 47374781, 47374809, 28
batch_normalization_87, BatchNormalization, 47410881, 47410905, 24
batch_normalization_86, BatchNormalization, 47442481, 47442501, 20
batch_normalization_94, BatchNormalization, 47469824, 47469836, 12
conv2d_91, Conv2D, 47526513, 47533425, 6912
conv2d_88, Conv2D, 48682288, 48684592, 2304
conv2d_89, Conv2D, 49047603, 49052211, 4608
batch_normalization_91, BatchNormalization, 49357699, 49357723, 24
batch_normalization_88, BatchNormalization, 49388069, 49388093, 24
batch_normalization_89, BatchNormalization, 49420145, 49420169, 24
conv2d_92, Conv2D, 49489408, 49494016, 4608
conv2d_93, Conv2D, 49831832, 49834136, 2304
batch_normalization_92, BatchNormalization, 50159067, 50159091, 24
batch_normalization_93, BatchNormalization, 50190809, 50190833, 24
predictions, Dense, 50951207, 50951208, 1
