block1_conv1, Conv2D, 2, 2526034, 2526032
block1_conv2, Conv2D, 2526035, 7166727, 4640692
block2_conv1, Conv2D, 7166728, 9046554, 1879826
block2_conv2, Conv2D, 9046555, 12794915, 3748360
block3_conv1, Conv2D, 12794916, 17090734, 4295818
block3_conv2, Conv2D, 17090735, 25549979, 8459244
block3_conv3, Conv2D, 25549980, 34198409, 8648429
block4_conv1, Conv2D, 34198410, 38577815, 4379405
block4_conv2, Conv2D, 38577816, 46440087, 7862271
block4_conv3, Conv2D, 46440088, 54297115, 7857027
block5_conv1, Conv2D, 54297116, 56602915, 2305799
block5_conv2, Conv2D, 56602916, 59173413, 2570497
block5_conv3, Conv2D, 59173414, 61471847, 2298433
fc1, Dense, 61471848, 162956976, 101485128
fc2, Dense, 162956977, 176216699, 13259722
predictions, Dense, 176216700, 179660831, 3444131
Start, Control, 0, 1, 1
End, Control, 179660832, 179660833, 1
