conv2d_1, Conv2D, 2, 10212867, 10212865
batch_normalization_1, BatchNormalization, 10212868, 27109163, 16896295
conv2d_2, Conv2D, 27109164, 34649508, 7540344
batch_normalization_2, BatchNormalization, 34649509, 43091422, 8441913
conv2d_3, Conv2D, 43091423, 59567713, 16476290
batch_normalization_3, BatchNormalization, 59567714, 63780227, 4212513
conv2d_4, Conv2D, 63780228, 72572843, 8792615
batch_normalization_4, BatchNormalization, 72572844, 73627885, 1055041
conv2d_6, Conv2D, 73627886, 78289926, 4662040
batch_normalization_6, BatchNormalization, 78289927, 78820049, 530122
conv2d_7, Conv2D, 78820050, 104372011, 25551961
batch_normalization_7, BatchNormalization, 104372012, 105426476, 1054464
conv2d_8, Conv2D, 105426477, 127746664, 22320187
batch_normalization_8, BatchNormalization, 127746665, 129897117, 2150452
conv2d_9, Conv2D, 129897118, 141306885, 11409767
batch_normalization_9, BatchNormalization, 141306886, 145607942, 4301056
conv2d_10, Conv2D, 145607943, 149473298, 3865355
Start, Control, 0, 1, 1
End, Control, 149473299, 149473300, 1
