conv2d_1, Conv2D, 2, 10212010, 10212008
batch_normalization_1, BatchNormalization, 10212011, 27105004, 16892993
conv2d_2, Conv2D, 27105005, 33899213, 6794208
batch_normalization_2, BatchNormalization, 33899214, 42339331, 8440117
conv2d_3, Conv2D, 42339332, 58812335, 16473003
batch_normalization_3, BatchNormalization, 58812336, 63023917, 4211581
conv2d_4, Conv2D, 63023918, 71680666, 8656748
batch_normalization_4, BatchNormalization, 71680667, 72733986, 1053319
conv2d_6, Conv2D, 72733987, 77453260, 4719273
batch_normalization_6, BatchNormalization, 77453261, 77983579, 530318
conv2d_7, Conv2D, 77983580, 103135418, 25151838
batch_normalization_7, BatchNormalization, 103135419, 104189351, 1053932
conv2d_8, Conv2D, 104189352, 126469239, 22279887
batch_normalization_8, BatchNormalization, 126469240, 128616438, 2147198
conv2d_9, Conv2D, 128616439, 138407136, 9790697
batch_normalization_9, BatchNormalization, 138407137, 142708312, 4301175
conv2d_10, Conv2D, 142708313, 146584083, 3875770
Start, Control, 0, 1, 1
End, Control, 146584084, 146584085, 1
