conv2d_1, Conv2D, 2, 10213566, 10213564
batch_normalization_1, BatchNormalization, 10213567, 27107357, 16893790
conv2d_2, Conv2D, 27107358, 41940800, 14833442
batch_normalization_2, BatchNormalization, 41940801, 50383573, 8442772
conv2d_3, Conv2D, 50383574, 67380064, 16996490
batch_normalization_3, BatchNormalization, 67380065, 71592016, 4211951
conv2d_4, Conv2D, 71592017, 80472610, 8880593
batch_normalization_4, BatchNormalization, 80472611, 81525872, 1053261
conv2d_6, Conv2D, 81525873, 86634798, 5108925
batch_normalization_6, BatchNormalization, 86634799, 87165349, 530550
conv2d_7, Conv2D, 87165350, 113034478, 25869128
batch_normalization_7, BatchNormalization, 113034479, 114087474, 1052995
conv2d_8, Conv2D, 114087475, 137264420, 23176945
batch_normalization_8, BatchNormalization, 137264421, 139412259, 2147838
conv2d_9, Conv2D, 139412260, 161706756, 22294496
batch_normalization_9, BatchNormalization, 161706757, 166006464, 4299707
conv2d_10, Conv2D, 166006465, 171831106, 5824641
Start, Control, 0, 1, 1
End, Control, 171831107, 171831108, 1
