block1_conv1, Conv2D, 2, 2526790, 2526788
block1_conv2, Conv2D, 2526791, 10008138, 7481347
block2_conv1, Conv2D, 10008139, 13690948, 3682809
block2_conv2, Conv2D, 13690949, 21044216, 7353267
block3_conv1, Conv2D, 21044217, 25439509, 4395292
block3_conv2, Conv2D, 25439510, 33981832, 8542322
block3_conv3, Conv2D, 33981833, 42679018, 8697185
block4_conv1, Conv2D, 42679019, 47191373, 4512354
block4_conv2, Conv2D, 47191374, 55535819, 8344445
block4_conv3, Conv2D, 55535820, 63734898, 8199078
block5_conv1, Conv2D, 63734899, 66047042, 2312143
block5_conv2, Conv2D, 66047043, 68623881, 2576838
block5_conv3, Conv2D, 68623882, 70928564, 2304682
fc1, Dense, 70928565, 155686772, 84758207
fc2, Dense, 155686773, 168166679, 12479906
predictions, Dense, 168166680, 171195360, 3028680
Start, Control, 0, 1, 1
End, Control, 171195361, 171195362, 1
