block1_conv1, Conv2D, 2, 2526034, 2526032
block1_conv2, Conv2D, 2526035, 7166714, 4640679
block2_conv1, Conv2D, 7166715, 9099823, 1933108
block2_conv2, Conv2D, 9099824, 12845723, 3745899
block3_conv1, Conv2D, 12845724, 17141714, 4295990
block3_conv2, Conv2D, 17141715, 25601633, 8459918
block3_conv3, Conv2D, 25601634, 34251312, 8649678
block4_conv1, Conv2D, 34251313, 38760750, 4509437
block4_conv2, Conv2D, 38760751, 47059396, 8298645
block4_conv3, Conv2D, 47059397, 55188546, 8129149
block5_conv1, Conv2D, 55188547, 57495298, 2306751
block5_conv2, Conv2D, 57495299, 60065797, 2570498
block5_conv3, Conv2D, 60065798, 62363604, 2297806
fc1, Dense, 62363605, 137485808, 75122203
fc2, Dense, 137485809, 149735470, 12249661
predictions, Dense, 149735471, 152721544, 2986073
Start, Control, 0, 1, 1
End, Control, 152721545, 152721546, 1
